record_Server :[tid: 26286]
http://192.168.1.205:8080/live/server_create/live/server_delete/live/server_select/live/live_update
E0910 15:18:31.808790 26286 webserver.cpp:264] 接口返回数据异常 ret:-1  错误信息:
### Error updating database.  Cause: java.sql.SQLIntegrityConstraintViolationException: Duplicate entry 'LIVE录像-http://192.168.1.206:8081/live/record' for key 'IDX_server_info_np'
### The error may involve com.dbr.eduLive.Dao.ServiceDao.serverInsert-Inline
### The error occurred while setting parameters
### SQL: insert into server_info    (      netFlag    ,     serverType    ,     serverName    ,     serverApi    )    values    (      ?    ,     ?    ,     ?    ,     ?    )
### Cause: java.sql.SQLIntegrityConstraintViolationException: Duplicate entry 'LIVE录像-http://192.168.1.206:8081/live/record' for key 'IDX_server_info_np'
; SQL []; Duplicate entry 'LIVE录像-http://192.168.1.206:8081/live/record' for key 'IDX_server_info_np'; nested exception is java.sql.SQLIntegrityConstraintViolationException: Duplicate entry 'LIVE录像-http://192.168.1.206:8081/live/record' for key 'IDX_server_info_np'
E0910 15:18:31.809602 26286 webserver.cpp:515] 解析注册录制 数据失败 main_ret:-1
httpServer_fun :[tid: 26288]
server starting
time url:http://192.168.1.205:8080/live/server_update?serverId=&netFlag=1
E0910 15:25:13.298079 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:25:15.017918 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:25:16.649565 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:25:18.294164 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:25:20.060158 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:25:21.703831 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:25:23.347993 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:25:25.070205 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:25:26.715199 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:25:28.543141 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:25:30.191366 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:25:31.838431 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:25:33.646068 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:25:35.292248 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:25:36.937412 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
